,0
1970-01-01 00:00:02.575201656,1.0
1970-01-01 00:00:04.535166075,0.0
1970-01-01 00:00:05.802115151,-1.0
1970-01-01 00:00:06.604828811,-2.0
1970-01-01 00:00:09.767248552,-1.0
1970-01-01 00:00:11.114774305,-2.0
1970-01-01 00:00:11.142397208,-1.0
1970-01-01 00:00:12.980437410,0.0
1970-01-01 00:00:14.908808135,-1.0
1970-01-01 00:00:14.997903150,-2.0
1970-01-01 00:00:16.790509298,-3.0
1970-01-01 00:00:17.200081126,-4.0
1970-01-01 00:00:17.969349716,-3.0
1970-01-01 00:00:18.084136948,-2.0
1970-01-01 00:00:18.622457136,-1.0
1970-01-01 00:00:18.667958743,0.0
1970-01-01 00:00:18.977626509,-1.0
1970-01-01 00:00:19.340743068,0.0
1970-01-01 00:00:20.082441209,1.0
1970-01-01 00:00:26.032055128,2.0
1970-01-01 00:00:28.018923413,1.0
1970-01-01 00:00:28.503208643,2.0
1970-01-01 00:00:35.479392664,1.0
1970-01-01 00:00:37.862376995,2.0
1970-01-01 00:00:44.336926409,3.0
1970-01-01 00:00:47.498945156,4.0
1970-01-01 00:00:48.388109589,3.0
1970-01-01 00:00:49.779017950,2.0
1970-01-01 00:00:53.929361029,3.0
1970-01-01 00:01:06.125061407,2.0
1970-01-01 00:01:07.798931557,3.0
1970-01-01 00:01:14.791738878,2.0
1970-01-01 00:01:24.221742637,3.0
1970-01-01 00:01:27.584588392,2.0
1970-01-01 00:01:29.689117934,1.0
1970-01-01 00:01:30.045995120,2.0
1970-01-01 00:01:31.018900098,1.0
1970-01-01 00:01:31.663601228,2.0
1970-01-01 00:01:31.695325743,3.0
1970-01-01 00:01:33.545391423,2.0
1970-01-01 00:01:37.116213737,1.0
1970-01-01 00:01:39.430961266,0.0
1970-01-01 00:01:41.058295991,-1.0
1970-01-01 00:01:42.901042654,0.0
1970-01-01 00:01:44.821029459,-1.0
1970-01-01 00:01:45.625694537,-2.0
1970-01-01 00:01:46.239771104,-3.0
1970-01-01 00:01:51.798312261,-4.0
1970-01-01 00:01:52.271947660,-3.0
1970-01-01 00:01:56.021874933,-4.0
1970-01-01 00:01:57.541776161,-5.0
1970-01-01 00:01:58.520807203,-4.0
1970-01-01 00:01:59.888420579,-3.0
1970-01-01 00:02:02.999101103,-4.0
1970-01-01 00:02:03.494853327,-3.0
1970-01-01 00:02:07.663326552,-4.0
1970-01-01 00:02:10.592470343,-5.0
1970-01-01 00:02:14.814303202,-4.0
1970-01-01 00:02:18.056910928,-3.0
1970-01-01 00:02:19.498183710,-2.0
1970-01-01 00:02:19.854704086,-1.0
1970-01-01 00:02:21.939090836,0.0
1970-01-01 00:02:22.270422093,-1.0
1970-01-01 00:02:22.419047692,-2.0
1970-01-01 00:02:23.383000815,-1.0
1970-01-01 00:02:24.960033901,0.0
1970-01-01 00:02:25.399404980,-1.0
1970-01-01 00:02:27.325254479,-2.0
1970-01-01 00:02:36.722320366,-3.0
1970-01-01 00:02:37.264128727,-4.0
1970-01-01 00:02:42.250530591,-3.0
1970-01-01 00:02:45.891161998,-4.0
1970-01-01 00:02:48.173385443,-5.0
1970-01-01 00:02:57.158435714,-4.0
1970-01-01 00:02:59.091460070,-5.0
1970-01-01 00:03:00.662705207,-6.0
1970-01-01 00:03:01.004804132,-5.0
1970-01-01 00:03:01.155114438,-6.0
1970-01-01 00:03:04.355269683,-7.0
1970-01-01 00:03:06.452958185,-6.0
1970-01-01 00:03:06.764666311,-7.0
1970-01-01 00:03:08.490237597,-8.0
1970-01-01 00:03:09.373949450,-7.0
1970-01-01 00:03:10.931759136,-6.0
1970-01-01 00:03:14.742800600,-7.0
1970-01-01 00:03:16.304043310,-8.0
1970-01-01 00:03:16.636830997,-7.0
1970-01-01 00:03:20.763643937,-8.0
1970-01-01 00:03:22.159311927,-7.0
1970-01-01 00:03:22.796389190,-8.0
1970-01-01 00:03:27.549314655,-9.0
1970-01-01 00:03:28.151760720,-10.0
1970-01-01 00:03:28.603248497,-11.0
1970-01-01 00:03:30.769983444,-12.0
1970-01-01 00:03:30.882767417,-13.0
1970-01-01 00:03:38.413483548,-14.0
1970-01-01 00:03:39.269854206,-15.0
1970-01-01 00:03:42.293109404,-14.0
1970-01-01 00:03:44.744514060,-15.0
1970-01-01 00:03:47.672777446,-14.0
1970-01-01 00:03:49.158610188,-15.0
1970-01-01 00:03:51.452926542,-14.0
1970-01-01 00:03:59.319372117,-13.0
1970-01-01 00:03:59.468067589,-14.0
1970-01-01 00:04:01.986808139,-13.0
1970-01-01 00:04:06.811397636,-14.0
1970-01-01 00:04:07.050105715,-13.0
1970-01-01 00:04:08.208091134,-14.0
1970-01-01 00:04:09.492002191,-13.0
1970-01-01 00:04:10.423153011,-12.0
1970-01-01 00:04:15.154824534,-11.0
1970-01-01 00:04:17.782100063,-12.0
1970-01-01 00:04:18.287330677,-11.0
1970-01-01 00:04:19.769791169,-10.0
1970-01-01 00:04:20.081688666,-11.0
1970-01-01 00:04:21.674020640,-10.0
1970-01-01 00:04:22.334602465,-11.0
1970-01-01 00:04:30.146832604,-12.0
1970-01-01 00:04:33.752863243,-11.0
1970-01-01 00:04:34.915193601,-12.0
1970-01-01 00:04:35.945634503,-11.0
1970-01-01 00:04:40.408840936,-12.0
1970-01-01 00:04:43.955074835,-11.0
1970-01-01 00:04:50.072084442,-12.0
1970-01-01 00:04:50.504180076,-13.0
1970-01-01 00:04:58.275900439,-12.0
1970-01-01 00:04:58.364670221,-13.0
1970-01-01 00:04:58.565470029,-12.0
1970-01-01 00:05:00.478552371,-11.0
1970-01-01 00:05:00.749708703,-12.0
1970-01-01 00:05:05.140465136,-11.0
1970-01-01 00:05:07.465344515,-10.0
1970-01-01 00:05:08.299904678,-9.0
1970-01-01 00:05:10.249048041,-10.0
1970-01-01 00:05:11.755651755,-11.0
1970-01-01 00:05:15.146982156,-12.0
1970-01-01 00:05:19.672516489,-11.0
1970-01-01 00:05:21.510852166,-10.0
1970-01-01 00:05:24.521689261,-11.0
1970-01-01 00:05:24.591591239,-12.0
1970-01-01 00:05:31.696623332,-13.0
1970-01-01 00:05:32.823200027,-14.0
1970-01-01 00:05:36.231267860,-15.0
1970-01-01 00:05:36.803847312,-16.0
1970-01-01 00:05:41.536503401,-17.0
1970-01-01 00:05:42.985594633,-18.0
1970-01-01 00:05:43.631333322,-17.0
1970-01-01 00:05:44.920412733,-18.0
1970-01-01 00:05:53.245885041,-19.0
1970-01-01 00:05:54.315775798,-18.0
1970-01-01 00:05:57.162244813,-19.0
1970-01-01 00:06:00.081130270,-18.0
1970-01-01 00:06:03.368706829,-19.0
1970-01-01 00:06:05.712923448,-18.0
1970-01-01 00:06:13.147136232,-19.0
1970-01-01 00:06:16.804983521,-18.0
1970-01-01 00:06:17.693488757,-17.0
1970-01-01 00:06:18.439138037,-16.0
1970-01-01 00:06:18.573977913,-17.0
1970-01-01 00:06:23.169029093,-16.0
1970-01-01 00:06:27.951018813,-17.0
1970-01-01 00:06:28.559403205,-18.0
1970-01-01 00:06:29.267911164,-17.0
1970-01-01 00:06:35.400654532,-16.0
1970-01-01 00:06:40.541025917,-17.0
1970-01-01 00:06:41.950883019,-18.0
1970-01-01 00:06:44.362502970,-17.0
1970-01-01 00:06:52.011863429,-16.0
1970-01-01 00:06:54.782176337,-17.0
1970-01-01 00:07:01.038675929,-18.0
1970-01-01 00:07:01.525796381,-19.0
1970-01-01 00:07:02.895938726,-18.0
1970-01-01 00:07:03.484072039,-19.0
1970-01-01 00:07:04.558541833,-18.0
1970-01-01 00:07:08.952220593,-19.0
1970-01-01 00:07:11.631904104,-20.0
1970-01-01 00:07:16.612420003,-21.0
1970-01-01 00:07:20.858753099,-22.0
1970-01-01 00:07:21.725910849,-23.0
1970-01-01 00:07:23.952126344,-22.0
1970-01-01 00:07:28.521650372,-21.0
1970-01-01 00:07:33.464459435,-22.0
1970-01-01 00:07:35.167471580,-21.0
1970-01-01 00:07:35.388340397,-20.0
1970-01-01 00:07:36.001532828,-19.0
1970-01-01 00:07:37.132932261,-20.0
1970-01-01 00:07:38.045974499,-19.0
1970-01-01 00:07:38.949144047,-20.0
1970-01-01 00:07:40.250772819,-21.0
1970-01-01 00:07:42.925115587,-22.0
1970-01-01 00:07:44.028828378,-23.0
1970-01-01 00:07:44.445024248,-24.0
1970-01-01 00:07:52.920568706,-25.0
1970-01-01 00:07:55.986635459,-24.0
1970-01-01 00:07:58.238707454,-23.0
1970-01-01 00:08:01.850683682,-24.0
1970-01-01 00:08:09.491165450,-23.0
1970-01-01 00:08:11.323763069,-22.0
1970-01-01 00:08:12.032090114,-23.0
1970-01-01 00:08:17.762490576,-24.0
1970-01-01 00:08:20.073004186,-25.0
1970-01-01 00:08:22.304684967,-24.0
1970-01-01 00:08:24.115278733,-25.0
1970-01-01 00:08:26.037780018,-26.0
1970-01-01 00:08:26.353292702,-27.0
1970-01-01 00:08:31.850906113,-26.0
1970-01-01 00:08:38.264739709,-27.0
1970-01-01 00:08:41.225092507,-28.0
1970-01-01 00:08:43.440251505,-27.0
1970-01-01 00:08:44.054363972,-28.0
1970-01-01 00:08:44.097064668,-27.0
1970-01-01 00:08:45.820661598,-26.0
1970-01-01 00:08:46.561719568,-25.0
1970-01-01 00:08:56.460277176,-24.0
1970-01-01 00:08:57.957439898,-25.0
1970-01-01 00:08:58.432676026,-26.0
1970-01-01 00:08:58.695025718,-27.0
1970-01-01 00:08:59.941164956,-26.0
1970-01-01 00:09:01.127061491,-25.0
1970-01-01 00:09:03.136258000,-24.0
1970-01-01 00:09:07.633606078,-25.0
1970-01-01 00:09:10.434922259,-24.0
1970-01-01 00:09:14.160193966,-23.0
1970-01-01 00:09:15.882496492,-22.0
1970-01-01 00:09:16.043249949,-23.0
1970-01-01 00:09:16.442561657,-24.0
1970-01-01 00:09:18.571105623,-25.0
1970-01-01 00:09:23.238133229,-24.0
1970-01-01 00:09:24.544469697,-25.0
1970-01-01 00:09:25.776556875,-26.0
1970-01-01 00:09:27.313908549,-25.0
1970-01-01 00:09:28.049752155,-26.0
1970-01-01 00:09:30.077683454,-27.0
1970-01-01 00:09:34.122604628,-26.0
1970-01-01 00:09:35.191702591,-25.0
1970-01-01 00:09:36.952757339,-24.0
1970-01-01 00:09:38.466812276,-23.0
1970-01-01 00:09:40.130224181,-22.0
1970-01-01 00:09:43.764160281,-23.0
1970-01-01 00:09:44.729381019,-22.0
1970-01-01 00:09:45.401301772,-23.0
1970-01-01 00:09:45.549291166,-22.0
1970-01-01 00:09:47.609007419,-21.0
1970-01-01 00:09:48.115391488,-22.0
1970-01-01 00:09:51.209992611,-21.0
1970-01-01 00:09:55.113442808,-22.0
1970-01-01 00:09:58.181143606,-23.0
1970-01-01 00:09:59.086053133,-22.0
1970-01-01 00:09:59.756974568,-21.0
1970-01-01 00:10:00.210200272,-20.0
1970-01-01 00:10:01.432358216,-21.0
1970-01-01 00:10:03.234030898,-20.0
1970-01-01 00:10:03.754445913,-21.0
1970-01-01 00:10:03.978874038,-20.0
1970-01-01 00:10:04.213207721,-19.0
1970-01-01 00:10:04.869498225,-18.0
1970-01-01 00:10:08.209888716,-17.0
1970-01-01 00:10:08.586200564,-16.0
1970-01-01 00:10:10.278634690,-17.0
1970-01-01 00:10:23.846297341,-18.0
1970-01-01 00:10:24.232498776,-17.0
1970-01-01 00:10:27.350083321,-16.0
1970-01-01 00:10:28.313308427,-17.0
1970-01-01 00:10:32.980554593,-18.0
1970-01-01 00:10:34.321236301,-19.0
1970-01-01 00:10:34.975529366,-18.0
1970-01-01 00:10:35.089162496,-17.0
1970-01-01 00:10:37.364391449,-18.0
1970-01-01 00:10:38.304590336,-19.0
1970-01-01 00:10:38.958423460,-18.0
1970-01-01 00:10:44.547933782,-17.0
1970-01-01 00:10:45.716159162,-18.0
1970-01-01 00:10:49.037875748,-17.0
1970-01-01 00:10:51.400228788,-16.0
1970-01-01 00:10:57.849513384,-15.0
1970-01-01 00:10:58.613366254,-14.0
1970-01-01 00:11:02.184500852,-13.0
1970-01-01 00:11:08.920096214,-12.0
1970-01-01 00:11:11.957853794,-11.0
1970-01-01 00:11:12.028901339,-12.0
1970-01-01 00:11:12.367571152,-13.0
1970-01-01 00:11:16.084843467,-14.0
1970-01-01 00:11:20.748340838,-15.0
1970-01-01 00:11:25.157547967,-16.0
1970-01-01 00:11:26.758993757,-15.0
1970-01-01 00:11:26.887564590,-16.0
1970-01-01 00:11:28.184676849,-15.0
1970-01-01 00:11:28.619766124,-14.0
1970-01-01 00:11:28.767999297,-15.0
1970-01-01 00:11:33.185109686,-16.0
1970-01-01 00:11:39.111106652,-17.0
1970-01-01 00:11:40.936887305,-16.0
1970-01-01 00:11:41.727768864,-17.0
1970-01-01 00:11:43.001578165,-18.0
1970-01-01 00:11:43.483888315,-17.0
1970-01-01 00:11:43.810791892,-18.0
1970-01-01 00:11:47.767775224,-17.0
1970-01-01 00:11:48.328053409,-18.0
1970-01-01 00:11:51.964672470,-17.0
1970-01-01 00:11:57.672297616,-16.0
1970-01-01 00:11:58.592034212,-17.0
1970-01-01 00:11:59.863857018,-18.0
1970-01-01 00:12:00.970853483,-19.0
1970-01-01 00:12:01.503072618,-18.0
1970-01-01 00:12:07.450371603,-19.0
1970-01-01 00:12:07.482078867,-20.0
1970-01-01 00:12:08.501722095,-19.0
1970-01-01 00:12:09.570109555,-18.0
1970-01-01 00:12:10.121027868,-17.0
1970-01-01 00:12:11.994452157,-18.0
1970-01-01 00:12:12.680288513,-19.0
1970-01-01 00:12:14.682659183,-18.0
1970-01-01 00:12:15.913277479,-19.0
1970-01-01 00:12:16.409762453,-20.0
1970-01-01 00:12:16.657101749,-19.0
1970-01-01 00:12:17.090203575,-18.0
1970-01-01 00:12:18.607543207,-17.0
