,0
1970-01-01 00:00:01.260588977,1.0
1970-01-01 00:00:03.062755841,0.0
1970-01-01 00:00:04.106048406,1.0
1970-01-01 00:00:04.461559097,0.0
1970-01-01 00:00:04.640254627,1.0
1970-01-01 00:00:04.852632485,0.0
1970-01-01 00:00:05.007029085,-1.0
1970-01-01 00:00:06.682096017,-2.0
1970-01-01 00:00:06.913381377,-3.0
1970-01-01 00:00:07.208052492,-4.0
1970-01-01 00:00:07.385893703,-3.0
1970-01-01 00:00:07.425146438,-2.0
1970-01-01 00:00:07.664250043,-3.0
1970-01-01 00:00:07.672999742,-4.0
1970-01-01 00:00:07.851036101,-5.0
1970-01-01 00:00:07.860558285,-4.0
1970-01-01 00:00:08.271257956,-3.0
1970-01-01 00:00:08.399104245,-2.0
1970-01-01 00:00:08.428430075,-3.0
1970-01-01 00:00:08.467027814,-2.0
1970-01-01 00:00:08.587891014,-3.0
1970-01-01 00:00:08.728420950,-4.0
1970-01-01 00:00:08.856431475,-3.0
1970-01-01 00:00:08.933613086,-2.0
1970-01-01 00:00:08.956908134,-1.0
1970-01-01 00:00:09.195851039,-2.0
1970-01-01 00:00:09.367260011,-1.0
1970-01-01 00:00:09.414389939,-2.0
1970-01-01 00:00:09.466071257,-1.0
1970-01-01 00:00:09.467067120,-2.0
1970-01-01 00:00:09.485830221,-1.0
1970-01-01 00:00:09.618809925,-2.0
1970-01-01 00:00:09.796309423,-1.0
1970-01-01 00:00:09.904490580,-2.0
1970-01-01 00:00:10.000872384,-1.0
1970-01-01 00:00:10.100859537,-2.0
1970-01-01 00:00:10.491616565,-3.0
1970-01-01 00:00:10.584672803,-2.0
1970-01-01 00:00:10.597638017,-3.0
1970-01-01 00:00:10.671526159,-4.0
1970-01-01 00:00:10.726177821,-5.0
1970-01-01 00:00:10.850639181,-4.0
1970-01-01 00:00:11.010562646,-5.0
1970-01-01 00:00:11.058122258,-4.0
1970-01-01 00:00:11.380385031,-3.0
1970-01-01 00:00:11.429230530,-2.0
1970-01-01 00:00:11.841531504,-1.0
1970-01-01 00:00:12.369765828,-2.0
1970-01-01 00:00:13.665008277,-3.0
